timestamp,kwh
2025-01-01 00:00:00,20.76
2025-01-01 01:00:00,17.4
2025-01-01 02:00:00,21.88
2025-01-01 03:00:00,22.35
2025-01-01 04:00:00,15.12
2025-01-01 05:00:00,16.74
2025-01-01 06:00:00,20.32
2025-01-01 07:00:00,19.21
2025-01-01 08:00:00,25.96
2025-01-01 09:00:00,23.87
2025-01-01 10:00:00,28.2
2025-01-01 11:00:00,27.94
2025-01-01 12:00:00,26.17
2025-01-01 13:00:00,28.82
2025-01-01 14:00:00,27.17
2025-01-01 15:00:00,23.85
2025-01-01 16:00:00,26.92
2025-01-01 17:00:00,23.6
2025-01-01 18:00:00,28.2
2025-01-01 19:00:00,25.88
2025-01-01 20:00:00,25.54
2025-01-01 21:00:00,18.3
2025-01-01 22:00:00,23.06
2025-01-01 23:00:00,19.61
2025-01-02 00:00:00,18.93
2025-01-02 01:00:00,19.12
2025-01-02 02:00:00,21.33
2025-01-02 03:00:00,20.91
2025-01-02 04:00:00,21.03
2025-01-02 05:00:00,21.08
2025-01-02 06:00:00,25.35
2025-01-02 07:00:00,18.98
2025-01-02 08:00:00,24.72
2025-01-02 09:00:00,23.97
2025-01-02 10:00:00,27.54
2025-01-02 11:00:00,28.82
2025-01-02 12:00:00,25.72
2025-01-02 13:00:00,23.9
2025-01-02 14:00:00,23.94
2025-01-02 15:00:00,27.63
2025-01-02 16:00:00,27.86
2025-01-02 17:00:00,27.36
2025-01-02 18:00:00,24.34
2025-01-02 19:00:00,26.58
2025-01-02 20:00:00,26.29
2025-01-02 21:00:00,20.55
2025-01-02 22:00:00,22.18
2025-01-02 23:00:00,20.56
2025-01-03 00:00:00,21.7
2025-01-03 01:00:00,20.17
2025-01-03 02:00:00,20.72
2025-01-03 03:00:00,21.58
2025-01-03 04:00:00,16.36
2025-01-03 05:00:00,19.2
2025-01-03 06:00:00,18.82
2025-01-03 07:00:00,18.4
2025-01-03 08:00:00,25.31
2025-01-03 09:00:00,29.74
2025-01-03 10:00:00,23.84
2025-01-03 11:00:00,28.42
2025-01-03 12:00:00,21.79
2025-01-03 13:00:00,25.16
2025-01-03 14:00:00,26.41
2025-01-03 15:00:00,27.47
2025-01-03 16:00:00,27.78
2025-01-03 17:00:00,27.98
2025-01-03 18:00:00,25.13
2025-01-03 19:00:00,24.84
2025-01-03 20:00:00,28.14
2025-01-03 21:00:00,19.52
2025-01-03 22:00:00,16.81
2025-01-03 23:00:00,17.17
2025-01-04 00:00:00,17.7
2025-01-04 01:00:00,21.24
2025-01-04 02:00:00,20.36
2025-01-04 03:00:00,21.73
2025-01-04 04:00:00,18.93
2025-01-04 05:00:00,20.4
2025-01-04 06:00:00,21.56
2025-01-04 07:00:00,19.23
2025-01-04 08:00:00,27.14
2025-01-04 09:00:00,24.35
2025-01-04 10:00:00,25.09
2025-01-04 11:00:00,25.05
2025-01-04 12:00:00,23.01
2025-01-04 13:00:00,27.22
2025-01-04 14:00:00,24.83
2025-01-04 15:00:00,26.03
2025-01-04 16:00:00,27.2
2025-01-04 17:00:00,27.12
2025-01-04 18:00:00,27.66
2025-01-04 19:00:00,25.75
2025-01-04 20:00:00,24.94
2025-01-04 21:00:00,19.8
2025-01-04 22:00:00,15.78
2025-01-04 23:00:00,16.38
2025-01-05 00:00:00,16.69
2025-01-05 01:00:00,17.51
2025-01-05 02:00:00,21.0
2025-01-05 03:00:00,17.74
2025-01-05 04:00:00,19.05
2025-01-05 05:00:00,23.25
2025-01-05 06:00:00,19.11
2025-01-05 07:00:00,21.84
2025-01-05 08:00:00,23.67
2025-01-05 09:00:00,25.49
2025-01-05 10:00:00,23.62
2025-01-05 11:00:00,25.15
2025-01-05 12:00:00,28.1
2025-01-05 13:00:00,21.68
2025-01-05 14:00:00,27.09
2025-01-05 15:00:00,26.59
2025-01-05 16:00:00,24.51
2025-01-05 17:00:00,22.38
2025-01-05 18:00:00,26.18
2025-01-05 19:00:00,24.68
2025-01-05 20:00:00,26.58
2025-01-05 21:00:00,20.05
2025-01-05 22:00:00,24.0
2025-01-05 23:00:00,19.4
2025-01-06 00:00:00,17.44
2025-01-06 01:00:00,20.45
2025-01-06 02:00:00,20.55
2025-01-06 03:00:00,23.4
2025-01-06 04:00:00,22.09
2025-01-06 05:00:00,20.89
2025-01-06 06:00:00,23.66
2025-01-06 07:00:00,17.03
2025-01-06 08:00:00,24.4
2025-01-06 09:00:00,23.68
2025-01-06 10:00:00,25.03
2025-01-06 11:00:00,22.56
2025-01-06 12:00:00,27.59
2025-01-06 13:00:00,25.44
2025-01-06 14:00:00,22.32
2025-01-06 15:00:00,23.46
2025-01-06 16:00:00,26.78
2025-01-06 17:00:00,28.1
2025-01-06 18:00:00,30.99
2025-01-06 19:00:00,33.28
2025-01-06 20:00:00,27.04
2025-01-06 21:00:00,17.53
2025-01-06 22:00:00,14.67
2025-01-06 23:00:00,20.67
2025-01-07 00:00:00,17.97
2025-01-07 01:00:00,18.96
2025-01-07 02:00:00,18.47
2025-01-07 03:00:00,19.65
2025-01-07 04:00:00,22.66
2025-01-07 05:00:00,20.39
2025-01-07 06:00:00,19.6
2025-01-07 07:00:00,17.41
2025-01-07 08:00:00,21.81
2025-01-07 09:00:00,24.78
2025-01-07 10:00:00,25.87
2025-01-07 11:00:00,30.42
2025-01-07 12:00:00,26.33
2025-01-07 13:00:00,28.46
2025-01-07 14:00:00,24.75
2025-01-07 15:00:00,23.04
2025-01-07 16:00:00,23.59
2025-01-07 17:00:00,24.19
2025-01-07 18:00:00,31.32
2025-01-07 19:00:00,23.95
2025-01-07 20:00:00,28.1
2025-01-07 21:00:00,17.74
2025-01-07 22:00:00,22.33
2025-01-07 23:00:00,20.96
