timestamp,kwh
2025-01-01 00:00:00,7.3
2025-01-01 01:00:00,5.96
2025-01-01 02:00:00,7.75
2025-01-01 03:00:00,7.94
2025-01-01 04:00:00,5.05
2025-01-01 05:00:00,5.7
2025-01-01 06:00:00,7.13
2025-01-01 07:00:00,6.68
2025-01-01 08:00:00,9.98
2025-01-01 09:00:00,9.15
2025-01-01 10:00:00,10.88
2025-01-01 11:00:00,10.78
2025-01-01 12:00:00,10.07
2025-01-01 13:00:00,11.13
2025-01-01 14:00:00,10.47
2025-01-01 15:00:00,9.14
2025-01-01 16:00:00,10.37
2025-01-01 17:00:00,9.04
2025-01-01 18:00:00,10.88
2025-01-01 19:00:00,9.95
2025-01-01 20:00:00,9.82
2025-01-01 21:00:00,6.32
2025-01-01 22:00:00,8.22
2025-01-01 23:00:00,6.85
2025-01-02 00:00:00,6.57
2025-01-02 01:00:00,6.65
2025-01-02 02:00:00,7.53
2025-01-02 03:00:00,7.37
2025-01-02 04:00:00,7.41
2025-01-02 05:00:00,7.43
2025-01-02 06:00:00,9.14
2025-01-02 07:00:00,6.59
2025-01-02 08:00:00,9.49
2025-01-02 09:00:00,9.19
2025-01-02 10:00:00,10.62
2025-01-02 11:00:00,11.13
2025-01-02 12:00:00,9.89
2025-01-02 13:00:00,9.16
2025-01-02 14:00:00,9.18
2025-01-02 15:00:00,10.65
2025-01-02 16:00:00,10.74
2025-01-02 17:00:00,10.54
2025-01-02 18:00:00,9.33
2025-01-02 19:00:00,10.23
2025-01-02 20:00:00,10.12
2025-01-02 21:00:00,7.22
2025-01-02 22:00:00,7.87
2025-01-02 23:00:00,7.22
2025-01-03 00:00:00,7.68
2025-01-03 01:00:00,7.07
2025-01-03 02:00:00,7.29
2025-01-03 03:00:00,7.63
2025-01-03 04:00:00,5.54
2025-01-03 05:00:00,6.68
2025-01-03 06:00:00,6.53
2025-01-03 07:00:00,6.36
2025-01-03 08:00:00,9.72
2025-01-03 09:00:00,11.49
2025-01-03 10:00:00,9.13
2025-01-03 11:00:00,10.97
2025-01-03 12:00:00,8.32
2025-01-03 13:00:00,9.67
2025-01-03 14:00:00,10.16
2025-01-03 15:00:00,10.59
2025-01-03 16:00:00,10.71
2025-01-03 17:00:00,10.79
2025-01-03 18:00:00,9.65
2025-01-03 19:00:00,9.54
2025-01-03 20:00:00,10.86
2025-01-03 21:00:00,6.81
2025-01-03 22:00:00,5.72
2025-01-03 23:00:00,5.87
2025-01-04 00:00:00,6.08
2025-01-04 01:00:00,7.5
2025-01-04 02:00:00,7.14
2025-01-04 03:00:00,7.69
2025-01-04 04:00:00,6.57
2025-01-04 05:00:00,7.16
2025-01-04 06:00:00,7.63
2025-01-04 07:00:00,6.69
2025-01-04 08:00:00,10.46
2025-01-04 09:00:00,9.34
2025-01-04 10:00:00,9.64
2025-01-04 11:00:00,9.62
2025-01-04 12:00:00,8.8
2025-01-04 13:00:00,10.49
2025-01-04 14:00:00,9.53
2025-01-04 15:00:00,10.01
2025-01-04 16:00:00,10.48
2025-01-04 17:00:00,10.45
2025-01-04 18:00:00,10.67
2025-01-04 19:00:00,9.9
2025-01-04 20:00:00,9.58
2025-01-04 21:00:00,6.92
2025-01-04 22:00:00,5.31
2025-01-04 23:00:00,5.55
2025-01-05 00:00:00,5.68
2025-01-05 01:00:00,6.0
2025-01-05 02:00:00,7.4
2025-01-05 03:00:00,6.09
2025-01-05 04:00:00,6.62
2025-01-05 05:00:00,8.3
2025-01-05 06:00:00,6.64
2025-01-05 07:00:00,7.74
